#F spectrum.dat

#S 1 Wiggler spectrum
#N 3
#L PhotonEnergy[eV]  Flux[phot/s/0.1%bw]  PowerDensity[W/eV]
 2.001543086172e+04   2.180425933103e+14   3.493427453404e-02  
 2.001547094188e+04   2.180420527942e+14   3.493418793381e-02  
 2.001551102204e+04   2.180415122793e+14   3.493410133377e-02  
 2.001555110220e+04   2.180409717656e+14   3.493401473393e-02  
 2.001559118236e+04   2.180404312531e+14   3.493392813428e-02  
 2.001563126253e+04   2.180398907418e+14   3.493384153482e-02  
 2.001567134269e+04   2.180393502316e+14   3.493375493556e-02  
 2.001571142285e+04   2.180388097228e+14   3.493366833649e-02  
 2.001575150301e+04   2.180382692150e+14   3.493358173760e-02  
 2.001579158317e+04   2.180377287085e+14   3.493349513891e-02  
 2.001583166333e+04   2.180371882032e+14   3.493340854042e-02  
 2.001587174349e+04   2.180366476991e+14   3.493332194211e-02  
 2.001591182365e+04   2.180361071962e+14   3.493323534400e-02  
 2.001595190381e+04   2.180355666945e+14   3.493314874608e-02  
 2.001599198397e+04   2.180350261940e+14   3.493306214836e-02  
 2.001603206413e+04   2.180344856947e+14   3.493297555083e-02  
 2.001607214429e+04   2.180339451966e+14   3.493288895348e-02  
 2.001611222445e+04   2.180334046997e+14   3.493280235633e-02  
 2.001615230461e+04   2.180328642040e+14   3.493271575938e-02  
 2.001619238477e+04   2.180323237095e+14   3.493262916261e-02  
 2.001623246493e+04   2.180317832163e+14   3.493254256604e-02  
 2.001627254509e+04   2.180312427242e+14   3.493245596966e-02  
 2.001631262525e+04   2.180307022333e+14   3.493236937348e-02  
 2.001635270541e+04   2.180301617436e+14   3.493228277748e-02  
 2.001639278557e+04   2.180296212551e+14   3.493219618168e-02  
 2.001643286573e+04   2.180290807678e+14   3.493210958607e-02  
 2.001647294589e+04   2.180285402817e+14   3.493202299065e-02  
 2.001651302605e+04   2.180279997969e+14   3.493193639543e-02  
 2.001655310621e+04   2.180274593131e+14   3.493184980040e-02  
 2.001659318637e+04   2.180269188307e+14   3.493176320556e-02  
 2.001663326653e+04   2.180263783494e+14   3.493167661091e-02  
